variable_1,variable_2
S13-00463,Growth Control
s14-00676,Growth Control
07-271,Growth Control
12215,Growth Control
10-01676,Growth Control
09-0057,Growth Control
S12-02807,Growth Control
S12-03632,Growth Control
S12-02726,Growth Control
S13-00512,Growth Control
09-0058,Growth Control
s14-02023,Growth Control
s14-01661,Growth Control
10832,Growth Control
8460,Growth Control
06-938,Growth Control
S12-01231,Growth Control
08-135,Growth Control
10094,Growth Control
06-779,Growth Control
S12-00316,Growth Control
10-00098,Growth Control
s15-01360,Growth Control
s16-00451,Growth Control
s15-00442,Growth Control
S14-00314,Growth Control
s14-01642,Non-Aligned
09-0603,Environmental and Molecular Carcinogenesis
06-442,Environmental and Molecular Carcinogenesis
08-146,Environmental and Molecular Carcinogenesis
S12-01789,Environmental and Molecular Carcinogenesis
11-00017,Environmental and Molecular Carcinogenesis
s14-01195,Environmental and Molecular Carcinogenesis
s15-00486,Environmental and Molecular Carcinogenesis
S13-00148,Environmental and Molecular Carcinogenesis
10-02429,Environmental and Molecular Carcinogenesis
s15-00511,Environmental and Molecular Carcinogenesis
s15-00852,Environmental and Molecular Carcinogenesis
s14-00996,Epidemiology Cancer Control
s15-00481,Melanoma
s16-00025,Melanoma
S12-03826,Genitourinary Cancer
08-398,Genitourinary Cancer
11-00713,Genitourinary Cancer
11-00227,Genitourinary Cancer
09-0510,Genitourinary Cancer
s14-01785,Stem Cell Biology
s15-00267,Environmental and Molecular Carcinogenesis
s15-00126,Environmental and Molecular Carcinogenesis
11-00861,Environmental and Molecular Carcinogenesis
S12-02393,Environmental and Molecular Carcinogenesis
S14-00004,Genitourinary Cancer
10-01582,Genitourinary Cancer
s15-01010,Genitourinary Cancer
08-663,Genitourinary Cancer
S12-03311,Genitourinary Cancer
S12-01617,Genitourinary Cancer
S12-03211,Genitourinary Cancer
s15-00846,Breast Cancer
s14-00434,Breast Cancer
S13-00624,Breast Cancer
s15-00987,Breast Cancer
S13-00063,Breast Cancer
s14-01344,Breast Cancer
s15-01069,Epidemiology Cancer Control
s15-01029,Immunology
s15-00082,Genitourinary Cancer
s15-01236,Genitourinary Cancer
s16-00003,Genitourinary Cancer
s15-00260,Genitourinary Cancer
s15-00570,Genitourinary Cancer
s16-00039,Genitourinary Cancer
s15-00413,Genitourinary Cancer
s15-00632,Genitourinary Cancer
s15-00544,Genitourinary Cancer
s14-00821,Stem Cell Biology
S12-03104,Stem Cell Biology
s14-00958,Stem Cell Biology
s14-00566,Stem Cell Biology
s15-01245,Stem Cell Biology
s15-00236,Stem Cell Biology
s16-01390,Genitourinary Cancer
s14-00711,Stem Cell Biology
S13-00759,Stem Cell Biology
S12-02243,Genitourinary Cancer
s14-01046,Genitourinary Cancer
S12-02920,Genitourinary Cancer
s14-00827,Genitourinary Cancer
s15-00289,Genitourinary Cancer
s16-00192,Genitourinary Cancer
s15-01156,Genitourinary Cancer
s14-01596,Genitourinary Cancer
9541,Genitourinary Cancer
S13-00177,Environmental and Molecular Carcinogenesis
S12-03603,Environmental and Molecular Carcinogenesis
s15-00845,Environmental and Molecular Carcinogenesis
s14-01868,Environmental and Molecular Carcinogenesis
S13-00854,Environmental and Molecular Carcinogenesis
07-746,Environmental and Molecular Carcinogenesis
s16-00122,Melanoma
s14-00871,Epidemiology Cancer Control
S12-03452,Epidemiology Cancer Control
11-02262,Epidemiology Cancer Control
s15-00034,Epidemiology Cancer Control
s14-01208,Melanoma
S12-02353,Melanoma
s14-01680,Melanoma
s14-01798,Melanoma
S12-02644,Melanoma
s14-01306,Epidemiology Cancer Control
09-0623,Epidemiology Cancer Control
S12-01299,Epidemiology Cancer Control
10-01969,Epidemiology Cancer Control
s15-00205,Stem Cell Biology
s14-01201,Breast Cancer
S13-00035,Breast Cancer
s14-01714,Breast Cancer
7374,Breast Cancer
11-00645,Breast Cancer
11-00126,Breast Cancer
09-0095,Breast Cancer
S12-03265,Environmental and Molecular Carcinogenesis
10-00427,Environmental and Molecular Carcinogenesis
10-01287,Environmental and Molecular Carcinogenesis
07-050,Immunology
S12-03259,Epidemiology Cancer Control
3407,Epidemiology Cancer Control
S13-00394,Genitourinary Cancer
S14-00072,Genitourinary Cancer
S13-00639,Genitourinary Cancer
S12-02910,Growth Control
10-02376,Epidemiology Cancer Control
s14-01289,Epidemiology Cancer Control
10-01301,Epidemiology Cancer Control
11-00569,Epidemiology Cancer Control
s15-00708,Epidemiology Cancer Control
s15-00610,Epidemiology Cancer Control
09-0316,Epidemiology Cancer Control
s14-02026,Epidemiology Cancer Control
S12-02857,Epidemiology Cancer Control
07-965,Epidemiology Cancer Control
S12-02165,Epidemiology Cancer Control
11-02574,Epidemiology Cancer Control
09-0032,Epidemiology Cancer Control
s14-01196,Stem Cell Biology
s14-01558,Stem Cell Biology
s14-00903,Genitourinary Cancer
11-01612,Environmental and Molecular Carcinogenesis
S13-00851,Epidemiology Cancer Control
12-00115,Breast Cancer
S13-00685,Immunology
s14-00716,Immunology
S12-03141,Immunology
s14-00448,Genitourinary Cancer
s14-00383,Genitourinary Cancer
S12-03738,Genitourinary Cancer
s14-01317,Genitourinary Cancer
11-01006,Genitourinary Cancer
S12-03739,Genitourinary Cancer
s14-01758,Genitourinary Cancer
S13-01313,Genitourinary Cancer
S12-02246,Genitourinary Cancer
11-00848,Growth Control
S12-03637,Growth Control
09-0396,Growth Control
